																									
																									
																									
																									
																									
Sample Name : branco																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
13	14,501	60327	1758																						
14	15,482	44018	1344																						
15	17,662	410150	10632																						
Total		7017722	305111																						
																									
Sample Name : MUCIN NHY 2																									
																									
																									
																									
																									
																									
																									
																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,723	165582	15619																						
2	2,215	8035	532																						
3	2,543	40319	4442																						
4	2,875	6579284	1067167																						
5	3,527	9563931	1354525																						
6	5,968	329433	16595																						
7	8,428	6265	389																						
8	10,872	10383	415																						
9	12,211	35951	1588																						
10	14,391	20072	759																						
11	17,113	126923	3893																						
Total		16886176	2465926																						
																									
																									
UV Channel 2 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,724	165241	15584																						
2	2,22	8687	525																						
3	2,545	42155	4446																						
4	2,877	6580180	1069333																						
5	3,528	9569470	1352721																						
6	5,969	320201	16595																						
7	6,525	1477	301																						
8	6,6	7685	305																						
9	8,44	5996	390																						
10	10,857	10768	412																						
11	12,212	36164	1587																						
12	14,404	19709	749																						
13	17,117	126646	3883																						
Total		16894381	2466830																						
																									
																									
RF Ex:373nm,Em:448nm																									
Peak#	Ret. Time	Area	Height																						
1	1,113	490762	9449																						
2	1,735	132979	6798																						
3	2,898	406704	34679																						
4	5,89	28297	1548																						
5	6,815	1955	139																						
6	7,627	23563	1507																						
7	8,509	686964	36456																						
8	10,885	4706726	194661																						
9	12,092	1201	72																						
10	13,391	23770	578																						
11	14,496	56134	1661																						
12	15,486	43079	1309																						
13	17,653	353849	9189																						
Total		6955981	298045																						
																									
Sample Name : h2O																									
																									
																									
																									
																									
																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,691	165940	16737																						
2	2,194	7454	584																						
3	2,878	4966558	860136																						
4	3,525	7383106	1053236																						
5	5,971	195333	11211																						
6	6,542	7577	227																						
7	8,417	3871	239																						
8	12,197	26988	1200																						
9	14,356	8200	335																						
10	17,086	97060	2987																						
Total		12862086	1946892																						
																									
																									
UV Channel 2 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,693	165883	16783																						
2	2,212	7740	579																						
3	2,88	4964729	856531																						
4	3,527	7381106	1051569																						
5	5,972	194978	11218																						
6	6,55	5745	224																						
7	7,067	1796	130																						
8	8,409	3950	242																						
9	11,375	1127	65																						
10	12,199	26954	1196																						
11	14,375	8635	343																						
12	17,095	96308	2975																						
Total		12858950	1941854																						
																									
																									
RF Ex:373nm,Em:448nm																									
Peak#	Ret. Time	Area	Height																						
1	1,072	460844	8819																						
2	1,702	114417	6165																						
3	2,891	199508	24502																						
4	5,903	11166	645																						
5	10,876	64746	2704																						
6	13,39	1647	85																						
7	17,601	35997	965																						
Total		888325	43885																						
																									
Sample Name : branco																									
																									
																									
																									
																									
																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,864	685169	62071																						
2	2,818	7231239	878868																						
3	3,527	9736883	1368692																						
4	5,036	14929	670																						
5	5,994	233732	17820																						
6	8,428	5473	340																						
7	10,412	7435	281																						
8	11,44	1081	65																						
9	12,218	36441	1572																						
10	14,383	3249	148																						
11	17,117	38490	1122																						
Total		17994120	2331649																						
																									
																									
UV Channel 2 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,866	685545	62318																						
2	2,82	7240154	877766																						
3	3,529	9741799	1366226																						
4	5,047	15660	689																						
5	5,995	234251	17811																						
6	8,425	5025	329																						
7	10,436	7612	289																						
8	11,474	1578	78																						
9	12,217	36530	1573																						
10	14,334	3567	149																						
11	17,117	37440	1112																						
Total		18009161	2328341																						
																									
																									
RF Ex:373nm,Em:448nm																									
Peak#	Ret. Time	Area	Height																						
1	1,042	11997	411																						
2	1,158	5345	393																						
3	1,877	133738	14253																						
4	2,833	467938	32578																						
5	3,7	13980	646																						
6	5,897	8053	415																						
7	10,9	31716	1116																						
8	17,649	143751	2941																						
Total		816518	52755																						
																									
Sample Name : 1 uM																									
																									
																									
																									
																									
																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,515	13182	968																						
2	1,897	3396	249																						
3	2,185	3122	263																						
4	2,871	19836	907																						
5	3,198	9980	579																						
6	3,548	127570	15362																						
7	6,022	2712	179																						
8	11,115	135845	4319																						
9	14,615	2733	129																						
10	14,817	1103	93																						
11	15,548	2302	86																						
Total		321783	23134																						
																									
																									
UV Channel 2 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,516	11836	933																						
2	1,909	2046	226																						
3	2,058	1457	213																						
4	2,188	2506	261																						
5	2,872	18834	902																						
6	3,206	10485	566																						
7	3,55	113786	15392																						
8	3,996	14462	467																						
9	6,018	2513	179																						
10	11,116	135410	4314																						
11	14,64	3570	127																						
12	15,631	1994	87																						
Total		318898	23668																						
																									
																									
RF Ex:373nm,Em:448nm																									
Peak#	Ret. Time	Area	Height																						
1	1,095	146416	2875																						
2	1,669	27585	2498																						
3	2,058	44078	3793																						
4	2,181	19702	3454																						
5	2,302	79634	7120																						
6	2,624	38824	3766																						
7	2,834	372490	21665																						
8	6,817	4188	196																						
9	7,742	20459	652																						
10	8,817	155489	3431																						
11	9,932	153892	2550																						
12	11,137	65262100	2021104																						
13	13,314	378210	12229																						
14	14,666	1816477	54255																						
15	15,632	1619567	43862																						
16	17,906	596828	11256																						
17	18,636	242411	5327																						
